university_id;grant_id;start_date;amount;name;creation_date;title;category;lab_id;extra_info;director_id;director_name;date_of_birth
229;545;25/04/2020;692;Cherry and Sons;20/05/2024;Develop;others;;;500545;Zeca Vieira;13/11/1967
418;545;18/07/2025;4953;Henson Inc;09/04/2021;Develop;others;194.0;participant;500545;Zeca Vieira;13/11/1967
81;545;21/08/2023;4911;Lewis-Livingston;20/11/2021;Develop;others;;;500545;Zeca Vieira;13/11/1967
26;545;26/08/2024;1096;Lloyd LLC;08/05/2024;Develop;others;;;500545;Zeca Vieira;13/11/1967
350;545;08/03/2024;1963;Robinson, Carroll and Jennings;26/08/2022;Develop;others;;;500545;Zeca Vieira;13/11/1967
185;545;05/10/2021;2135;Hoffman and Sons;06/06/2022;Develop;others;143.0;radio;500545;Zeca Vieira;13/11/1967
239;545;18/05/2024;2037;Sims Group;04/03/2023;Develop;others;176.0;guess;500545;Zeca Vieira;13/11/1967
438;544;12/04/2021;1548;Randolph, Carr and Spencer;28/07/2022;Side;leg;;;500544;Zeca Teixeira;17/11/1982
198;544;22/01/2020;4201;Molina LLC;17/01/2022;Side;leg;38.0;know;500544;Zeca Teixeira;17/11/1982
98;544;21/04/2021;2465;Lee-Perry;06/11/2022;Side;leg;135.0;character;500544;Zeca Teixeira;17/11/1982
419;544;10/01/2025;4363;Larson, Leon and Cohen;17/11/2023;Side;leg;;;500544;Zeca Teixeira;17/11/1982
76;544;04/02/2025;1103;Montes, Hayes and Smith;31/10/2022;Side;leg;;;500544;Zeca Teixeira;17/11/1982
398;544;16/05/2021;4088;Arnold, Park and Williams;20/05/2024;Side;leg;;;500544;Zeca Teixeira;17/11/1982
150;544;28/03/2023;3221;Anderson Inc;30/06/2021;Side;leg;82.0;various;500544;Zeca Teixeira;17/11/1982
444;544;07/03/2020;2092;Brown-Miller;04/07/2021;Side;leg;;;500544;Zeca Teixeira;17/11/1982
498;544;14/02/2025;4062;Clark, Lee and Kim;05/08/2022;Side;leg;;;500544;Zeca Teixeira;17/11/1982
2;544;08/04/2024;945;Hamilton, Fields and Jones;05/03/2024;Side;leg;27.0;common;500544;Zeca Teixeira;17/11/1982
2;544;08/04/2024;945;Hamilton, Fields and Jones;05/03/2024;Side;leg;186.0;better;500544;Zeca Teixeira;17/11/1982
272;544;14/08/2022;232;Cuevas-Brown;10/04/2025;Side;leg;58.0;hear;500544;Zeca Teixeira;17/11/1982
416;544;11/01/2021;1448;Washington Group;15/05/2023;Side;leg;;;500544;Zeca Teixeira;17/11/1982
157;543;01/05/2022;4755;Johnson, Jones and Wong;03/09/2025;Wind;Mrs;;;500543;Zeca Santos;07/07/1981
315;543;13/08/2023;1226;Johnson, Phillips and Shah;05/12/2023;Wind;Mrs;;;500543;Zeca Santos;07/07/1981
